project_id,date,progress_percent,daily_cost,number_of_workers
1,2021-12-01,0.14,139741,252
1,2021-12-02,0.21,78067,269
1,2021-12-03,0.38,130133,215
1,2021-12-04,0.43,52437,246
1,2021-12-05,0.58,50125,113
1,2021-12-06,0.67,90137,173
1,2021-12-07,0.74,96928,274
1,2021-12-08,0.8,61742,169
1,2021-12-09,1.04,145430,161
1,2021-12-10,1.21,91595,489
1,2021-12-11,1.41,85668,207
1,2021-12-12,1.57,76952,490
1,2021-12-13,1.65,96286,229
1,2021-12-14,1.7,136070,326
1,2021-12-15,1.95,92021,271
1,2021-12-16,2.08,75550,424
1,2021-12-17,2.15,107557,478
1,2021-12-18,2.4,86770,244
1,2021-12-19,2.52,74868,110
1,2021-12-20,2.57,82705,169
1,2021-12-21,2.72,139204,373
1,2021-12-22,2.89,115544,172
1,2021-12-23,3.0,95013,150
1,2021-12-24,3.22,132342,316
1,2021-12-25,3.33,63456,388
1,2021-12-26,3.5,98669,298
1,2021-12-27,3.57,83233,252
1,2021-12-28,3.8,137116,143
1,2021-12-29,3.91,72148,114
1,2021-12-30,4.12,70469,265
1,2021-12-31,4.27,128956,399
1,2022-01-01,4.38,73968,332
1,2022-01-02,4.46,128354,396
1,2022-01-03,4.56,126503,387
1,2022-01-04,4.81,52960,153
1,2022-01-05,4.95,91290,111
1,2022-01-06,5.02,76378,198
1,2022-01-07,5.25,146328,260
1,2022-01-08,5.45,130722,415
1,2022-01-09,5.58,99897,402
1,2022-01-10,5.81,96564,170
1,2022-01-11,5.88,127313,498
1,2022-01-12,6.11,114444,169
1,2022-01-13,6.21,129811,354
1,2022-01-14,6.32,70443,178
1,2022-01-15,6.48,84106,323
1,2022-01-16,6.7,86779,316
1,2022-01-17,6.81,140629,495
1,2022-01-18,7.0,107329,239
1,2022-01-19,7.09,137610,364
1,2022-01-20,7.2,116127,117
1,2022-01-21,7.4,147775,190
1,2022-01-22,7.63,109854,137
1,2022-01-23,7.71,58440,130
1,2022-01-24,7.83,138676,489
1,2022-01-25,8.03,146142,362
1,2022-01-26,8.26,56562,209
1,2022-01-27,8.48,107080,248
1,2022-01-28,8.56,131404,159
1,2022-01-29,8.67,149782,395
1,2022-01-30,8.8,60760,215
1,2022-01-31,8.86,74944,334
1,2022-02-01,8.94,116575,195
1,2022-02-02,9.12,64503,305
1,2022-02-03,9.22,107310,434
1,2022-02-04,9.38,58438,368
1,2022-02-05,9.62,123361,494
1,2022-02-06,9.68,66252,445
1,2022-02-07,9.88,95083,386
1,2022-02-08,10.02,53968,136
1,2022-02-09,10.09,63120,277
1,2022-02-10,10.18,56463,483
1,2022-02-11,10.24,147520,344
1,2022-02-12,10.44,144787,404
1,2022-02-13,10.62,94105,139
1,2022-02-14,10.77,98221,216
1,2022-02-15,10.95,108455,397
1,2022-02-16,11.14,96400,305
1,2022-02-17,11.25,139356,492
1,2022-02-18,11.4,94872,297
1,2022-02-19,11.5,134358,349
1,2022-02-20,11.65,80869,247
1,2022-02-21,11.87,81511,165
1,2022-02-22,12.01,77618,337
1,2022-02-23,12.13,59041,130
1,2022-02-24,12.29,64997,477
1,2022-02-25,12.47,82348,459
1,2022-02-26,12.59,80113,348
1,2022-02-27,12.77,70786,200
1,2022-02-28,12.9,98036,477
1,2022-03-01,13.03,149621,201
1,2022-03-02,13.21,102255,121
1,2022-03-03,13.36,50097,280
1,2022-03-04,13.44,52225,223
1,2022-03-05,13.52,99927,242
1,2022-03-06,13.7,149238,367
1,2022-03-07,13.91,98074,415
1,2022-03-08,14.01,97201,124
1,2022-03-09,14.11,142091,291
1,2022-03-10,14.26,74263,145
1,2022-03-11,14.33,102317,215
1,2022-03-12,14.41,50178,334
1,2022-03-13,14.58,112903,205
1,2022-03-14,14.79,62614,139
1,2022-03-15,14.9,103592,192
1,2022-03-16,15.08,72522,124
1,2022-03-17,15.18,114049,286
1,2022-03-18,15.39,149544,363
1,2022-03-19,15.47,53159,255
1,2022-03-20,15.66,126284,390
1,2022-03-21,15.84,116644,126
1,2022-03-22,16.02,96465,284
1,2022-03-23,16.2,61837,119
1,2022-03-24,16.31,134850,422
1,2022-03-25,16.44,124007,164
1,2022-03-26,16.52,66089,194
1,2022-03-27,16.67,54703,441
1,2022-03-28,16.74,139695,150
1,2022-03-29,16.81,88151,219
1,2022-03-30,16.98,142517,135
1,2022-03-31,17.05,58479,132
1,2022-04-01,17.28,96412,261
1,2022-04-02,17.51,77382,178
1,2022-04-03,17.6,101973,455
1,2022-04-04,17.83,143520,465
1,2022-04-05,18.01,131623,299
1,2022-04-06,18.25,97591,280
1,2022-04-07,18.34,67400,226
1,2022-04-08,18.48,86377,402
1,2022-04-09,18.59,148899,254
1,2022-04-10,18.78,51219,433
1,2022-04-11,18.96,91320,189
1,2022-04-12,19.16,135905,402
1,2022-04-13,19.26,135226,203
1,2022-04-14,19.5,56776,382
1,2022-04-15,19.58,88898,438
1,2022-04-16,19.72,106897,381
1,2022-04-17,19.93,73183,155
1,2022-04-18,20.18,69751,404
1,2022-04-19,20.27,60649,376
1,2022-04-20,20.4,133115,363
1,2022-04-21,20.48,148997,457
1,2022-04-22,20.67,101332,278
1,2022-04-23,20.77,74749,481
1,2022-04-24,20.84,134053,497
1,2022-04-25,20.94,128392,172
1,2022-04-26,21.0,110170,430
1,2022-04-27,21.16,112709,436
1,2022-04-28,21.34,95200,487
1,2022-04-29,21.53,84676,189
1,2022-04-30,21.62,62556,198
1,2022-05-01,21.86,83185,350
1,2022-05-02,22.0,118719,399
1,2022-05-03,22.11,60678,463
1,2022-05-04,22.23,65278,308
1,2022-05-05,22.45,141961,292
1,2022-05-06,22.64,92878,250
1,2022-05-07,22.83,149975,454
1,2022-05-08,22.99,88227,330
1,2022-05-09,23.23,82408,465
1,2022-05-10,23.31,122564,468
1,2022-05-11,23.56,79911,232
1,2022-05-12,23.62,58753,341
1,2022-05-13,23.67,83820,459
1,2022-05-14,23.84,91279,437
1,2022-05-15,24.03,133895,243
1,2022-05-16,24.28,95935,435
1,2022-05-17,24.52,111825,426
1,2022-05-18,24.76,51825,155
1,2022-05-19,24.85,140849,338
1,2022-05-20,25.01,140029,447
1,2022-05-21,25.1,102845,422
1,2022-05-22,25.31,146592,395
1,2022-05-23,25.41,125604,131
1,2022-05-24,25.58,115501,411
1,2022-05-25,25.67,60364,308
1,2022-05-26,25.83,135389,376
1,2022-05-27,26.04,93812,342
1,2022-05-28,26.14,85321,488
1,2022-05-29,26.39,130554,151
1,2022-05-30,26.45,148816,150
1,2022-05-31,26.66,62668,102
1,2022-06-01,26.82,127883,471
1,2022-06-02,26.93,88151,498
1,2022-06-03,27.09,122907,384
1,2022-06-04,27.22,99689,303
1,2022-06-05,27.39,91957,431
1,2022-06-06,27.57,112100,324
1,2022-06-07,27.68,53373,294
1,2022-06-08,27.81,75789,304
1,2022-06-09,28.04,103926,377
1,2022-06-10,28.21,147728,485
1,2022-06-11,28.27,137273,495
1,2022-06-12,28.44,53570,142
1,2022-06-13,28.56,119504,370
1,2022-06-14,28.67,80290,113
1,2022-06-15,28.79,135103,481
1,2022-06-16,29.03,114676,162
1,2022-06-17,29.23,131497,323
1,2022-06-18,29.35,103026,121
1,2022-06-19,29.5,136311,449
1,2022-06-20,29.69,136213,121
1,2022-06-21,29.79,101105,237
1,2022-06-22,30.03,103320,476
1,2022-06-23,30.22,148915,132
1,2022-06-24,30.28,50824,144
1,2022-06-25,30.37,91517,114
1,2022-06-26,30.58,65237,209
1,2022-06-27,30.68,108044,305
1,2022-06-28,30.78,65586,354
1,2022-06-29,30.92,131745,242
1,2022-06-30,31.15,99721,237
1,2022-07-01,31.22,119878,378
1,2022-07-02,31.31,137725,103
1,2022-07-03,31.5,127149,466
1,2022-07-04,31.74,75160,118
1,2022-07-05,31.97,54384,175
1,2022-07-06,32.05,92219,143
1,2022-07-07,32.27,102064,374
1,2022-07-08,32.39,84620,491
1,2022-07-09,32.46,82663,348
1,2022-07-10,32.57,56536,135
1,2022-07-11,32.73,102436,299
1,2022-07-12,32.9,106427,337
1,2022-07-13,32.95,147503,216
1,2022-07-14,33.17,120285,419
1,2022-07-15,33.28,71265,381
1,2022-07-16,33.41,113136,472
1,2022-07-17,33.58,124427,491
1,2022-07-18,33.8,67351,212
1,2022-07-19,33.97,146778,500
1,2022-07-20,34.19,147964,133
1,2022-07-21,34.39,85055,241
1,2022-07-22,34.6,101823,234
1,2022-07-23,34.78,87384,218
1,2022-07-24,34.87,126015,243
1,2022-07-25,35.08,102643,401
1,2022-07-26,35.31,102587,442
1,2022-07-27,35.39,142351,299
1,2022-07-28,35.5,99716,488
1,2022-07-29,35.56,97235,308
1,2022-07-30,35.65,114820,153
1,2022-07-31,35.85,98825,390
1,2022-08-01,36.1,60068,390
1,2022-08-02,36.33,130554,184
1,2022-08-03,36.51,149768,337
1,2022-08-04,36.74,137735,119
1,2022-08-05,36.91,69331,402
1,2022-08-06,37.03,73437,404
1,2022-08-07,37.24,101609,150
1,2022-08-08,37.35,127336,277
1,2022-08-09,37.42,135667,240
1,2022-08-10,37.58,59035,224
1,2022-08-11,37.69,99116,200
1,2022-08-12,37.91,144590,231
1,2022-08-13,38.14,88312,140
1,2022-08-14,38.25,51660,160
1,2022-08-15,38.48,100175,286
1,2022-08-16,38.63,72669,294
1,2022-08-17,38.74,127831,395
1,2022-08-18,38.89,75394,418
1,2022-08-19,39.02,108282,194
1,2022-08-20,39.17,94067,436
1,2022-08-21,39.31,73474,225
1,2022-08-22,39.5,62487,348
1,2022-08-23,39.55,94358,223
1,2022-08-24,39.69,125790,423
1,2022-08-25,39.8,75167,316
1,2022-08-26,39.96,76754,154
1,2022-08-27,40.11,53923,389
1,2022-08-28,40.32,57290,166
1,2022-08-29,40.51,69198,390
1,2022-08-30,40.73,143766,441
